Symbol
AUDCAD
AUDCHF
AUDCNH
AUDHKD
AUDJPY
AUDNZD
AUDSGD
AUDUSD
AUDZAR
CADCHF
CADCNH
CADJPY
CHFCNH
CHFCZK
CHFDKK
CHFHUF
CHFJPY
CHFNOK
CHFPLN
CHFSEK
CHFTRY
CHFZAR
CNHHKD
CNHJPY
DKKJPY
DKKNOK
DKKSEK
EURAUD
EURCAD
EURCHF
EURCNH
EURCZK
EURDKK
EURGBP
EURHKD
EURHUF
EURILS
EURJPY
EURMXN
EURNOK
EURNZD
EURPLN
EURRUB
EURSEK
EURSGD
EURTRY
EURUSD
EURZAR
GBPAUD
GBPCAD
GBPCHF
GBPCNH
GBPCZK
GBPDKK
GBPHKD
GBPHUF
GBPJPY
GBPMXN
GBPNOK
GBPNZD
GBPPLN
GBPSEK
GBPSGD
GBPTRY
GBPUSD
GBPZAR
HKDJPY
KRWAUD
KRWCAD
KRWCHF
KRWEUR
KRWGBP
KRWHKD
KRWJPY
KRWUSD
MXNJPY
NOKJPY
NOKSEK
NZDCAD
NZDCHF
NZDJPY
NZDUSD
SEKJPY
SGDCNH
SGDJPY
TRYJPY
USDCAD
USDCHF
USDCNH
USDCZK
USDDKK
USDHKD
USDHUF
USDILS
USDJPY
USDKRW
USDMXN
USDNOK
USDPLN
USDRUB
USDSEK
USDSGD
USDTRY
USDZAR
ZARJPY
